id;day;month;year;N1;N2;N3;N4;N5
4865;31;12;2019;6;8;12;31;40
4864;30;12;2019;13;21;33;35;41
4863;29;12;2019;1;5;9;14;35
4862;28;12;2019;5;12;20;27;35
4861;27;12;2019;1;4;10;14;23
4860;26;12;2019;12;16;22;29;35
4859;25;12;2019;3;13;23;24;36
4858;24;12;2019;6;12;17;32;35
4857;23;12;2019;2;10;12;34;37
4856;22;12;2019;5;7;17;31;42
4855;21;12;2019;3;8;12;20;39
4854;20;12;2019;6;13;17;24;27
4853;19;12;2019;3;5;11;18;21
4852;18;12;2019;5;7;15;23;36
4851;17;12;2019;4;23;28;35;42
4850;16;12;2019;6;11;20;33;38
4849;15;12;2019;2;20;28;31;34
4848;14;12;2019;7;11;20;24;31
4847;13;12;2019;12;16;17;26;32
4846;12;12;2019;8;11;23;32;33
4845;11;12;2019;8;9;28;29;39
4844;10;12;2019;7;11;22;33;38
4843;09;12;2019;6;23;28;32;37
4842;08;12;2019;3;4;5;6;22
4841;07;12;2019;10;25;35;36;38
4840;06;12;2019;5;11;30;33;35
4839;05;12;2019;14;16;26;30;31
4838;04;12;2019;15;21;22;25;32
4837;03;12;2019;4;22;24;34;39
4836;02;12;2019;14;24;34;37;42
4835;01;12;2019;4;17;30;34;37
4834;30;11;2019;4;16;21;39;40
4833;29;11;2019;10;21;23;29;30
4832;28;11;2019;13;15;17;18;40
4831;27;11;2019;3;5;16;21;27
4830;26;11;2019;2;16;28;33;37
4829;25;11;2019;1;5;9;21;25
4828;24;11;2019;1;7;12;29;37
4827;23;11;2019;4;17;22;25;37
4826;22;11;2019;13;18;23;26;42
4825;21;11;2019;3;23;28;31;42
4824;20;11;2019;10;17;22;26;39
4823;19;11;2019;15;26;28;32;33
4822;18;11;2019;15;17;22;34;36
4821;17;11;2019;1;8;9;37;39
4820;16;11;2019;10;15;28;30;31
4819;15;11;2019;5;9;11;19;27
4818;14;11;2019;1;7;15;20;40
4817;13;11;2019;2;5;22;30;32
4816;12;11;2019;7;17;33;35;41
4815;11;11;2019;6;16;22;29;35
4814;10;11;2019;4;11;16;22;28
4813;09;11;2019;5;7;12;14;24
4812;08;11;2019;17;19;25;29;32
4811;07;11;2019;9;10;21;30;36
