id;day;month;year;N1;N2;N3;N4;N5
5961;25;08;2022;7;21;23;29;42
5960;24;08;2022;9;18;22;33;41
5959;23;08;2022;10;26;32;38;42
5958;22;08;2022;2;8;10;11;36
5957;21;08;2022;6;16;19;31;35
5956;20;08;2022;17;19;20;22;32
5955;19;08;2022;16;21;28;31;36
5954;18;08;2022;1;10;14;21;35
5953;17;08;2022;3;8;11;16;28
5952;16;08;2022;14;23;34;36;37
5951;15;08;2022;6;8;11;39;42
5950;14;08;2022;12;13;24;35;38
5949;13;08;2022;24;25;35;39;40
5948;12;08;2022;9;13;15;18;36
5947;11;08;2022;11;26;32;36;38
5946;10;08;2022;15;17;19;30;36
5945;09;08;2022;2;8;12;20;33
5944;08;08;2022;4;12;16;19;39
5943;07;08;2022;2;12;13;22;41
5942;06;08;2022;2;3;14;21;42
5941;05;08;2022;11;17;20;21;37
5940;04;08;2022;1;10;13;14;36
5939;03;08;2022;2;12;26;28;36
5938;02;08;2022;18;28;30;32;36
5937;01;08;2022;1;2;6;14;40
5936;31;07;2022;10;26;29;40;42
5935;30;07;2022;2;12;15;37;39
5934;29;07;2022;17;18;31;41;42
5933;28;07;2022;17;26;31;35;37
5932;27;07;2022;17;18;27;31;40
5931;26;07;2022;11;31;32;34;38
5930;25;07;2022;9;19;36;37;41
5929;24;07;2022;11;21;22;36;37
5928;23;07;2022;25;33;38;39;42
5927;22;07;2022;13;30;31;33;40
5926;21;07;2022;9;10;21;35;42
5925;20;07;2022;1;7;15;19;39
5924;19;07;2022;1;5;7;18;33
5923;18;07;2022;10;11;22;24;36
5922;17;07;2022;11;13;24;29;37
5921;16;07;2022;25;27;32;35;39
5920;15;07;2022;11;18;28;35;36
5919;14;07;2022;1;8;12;16;34
5918;13;07;2022;3;8;22;34;40
5917;12;07;2022;4;9;22;31;38
5916;11;07;2022;2;3;14;34;35
5915;10;07;2022;8;20;31;37;38
5914;09;07;2022;1;18;21;32;41
5913;08;07;2022;11;16;21;32;41
5912;07;07;2022;7;15;23;33;41
5911;06;07;2022;5;11;15;32;35
5910;05;07;2022;14;15;17;30;37
5909;04;07;2022;10;15;17;19;33
5908;03;07;2022;5;10;22;29;35
5907;02;07;2022;8;21;22;27;29
5906;01;07;2022;7;13;21;23;26
5905;30;06;2022;1;10;17;20;27
5904;29;06;2022;17;33;36;38;41
5903;28;06;2022;5;6;10;14;35
5902;27;06;2022;13;21;29;32;36
