id;day;month;year;N1;N2;N3;N4;N5
5359;31;12;2020;11;22;25;39;41
5358;30;12;2020;3;8;19;21;35
5357;29;12;2020;6;14;16;21;37
5356;28;12;2020;17;30;31;35;36
5355;27;12;2020;23;26;30;36;42
5354;26;12;2020;13;24;31;32;34
5353;25;12;2020;11;14;16;41;42
5352;24;12;2020;10;11;20;32;38
5351;23;12;2020;1;5;31;33;34
5350;22;12;2020;1;16;28;30;32
5349;21;12;2020;2;21;30;32;33
5348;20;12;2020;10;20;26;32;42
5347;19;12;2020;24;29;31;34;37
5346;18;12;2020;18;21;26;27;42
5345;17;12;2020;3;6;19;23;36
5344;16;12;2020;7;10;16;23;31
5343;15;12;2020;9;14;19;28;38
5342;14;12;2020;13;17;22;28;30
5341;13;12;2020;7;12;25;26;32
5340;12;12;2020;7;13;19;20;30
5339;11;12;2020;6;9;14;30;36
5338;10;12;2020;1;11;13;27;36
5337;09;12;2020;4;5;9;33;40
5336;08;12;2020;12;18;24;27;42
5335;07;12;2020;10;20;25;27;41
5334;06;12;2020;3;8;9;27;30
5333;05;12;2020;7;17;19;24;34
5332;04;12;2020;12;29;32;34;40
5331;03;12;2020;11;12;32;37;40
5330;02;12;2020;4;9;15;20;38
5329;01;12;2020;5;10;17;19;28
5328;30;11;2020;4;14;18;28;36
5327;29;11;2020;2;10;23;24;31
5326;28;11;2020;1;8;12;14;20
5325;27;11;2020;3;14;21;24;41
5324;26;11;2020;1;2;20;31;34
5323;25;11;2020;12;19;28;29;31
5322;24;11;2020;14;21;31;37;39
5321;23;11;2020;7;15;25;27;37
5320;22;11;2020;6;11;22;26;36
5319;21;11;2020;6;10;29;34;42
5318;20;11;2020;2;3;12;16;27
5317;19;11;2020;11;15;20;27;32
5316;18;11;2020;1;21;22;33;40
5315;17;11;2020;3;14;17;20;21
5314;16;11;2020;19;24;25;30;35
5313;15;11;2020;3;22;29;31;36
5312;14;11;2020;4;10;17;34;38
5311;13;11;2020;21;28;29;30;32
5310;12;11;2020;5;12;23;29;36
5309;11;11;2020;1;14;26;27;34
5308;10;11;2020;7;10;24;27;33
5307;09;11;2020;1;9;19;30;42
5306;08;11;2020;13;23;24;34;39
5305;07;11;2020;8;23;24;25;39
5304;06;11;2020;3;5;9;10;31
5303;05;11;2020;9;11;18;20;30
5302;04;11;2020;5;22;33;34;41
5301;03;11;2020;3;20;35;36;37
5300;02;11;2020;9;23;33;41;42
5299;01;11;2020;1;4;29;35;41
5298;31;10;2020;14;19;21;26;30
5297;30;10;2020;13;25;35;36;42
5296;29;10;2020;20;22;24;29;35
5295;28;10;2020;3;9;10;33;39
5294;27;10;2020;1;4;18;40;42
5293;26;10;2020;3;14;18;38;39
5292;25;10;2020;13;17;24;31;38
5291;24;10;2020;21;26;32;33;40
5290;23;10;2020;6;21;25;35;36
5289;22;10;2020;5;9;12;34;37
5288;21;10;2020;11;17;18;21;32
5287;20;10;2020;1;10;19;21;22
5286;19;10;2020;12;14;17;22;26
5285;18;10;2020;5;20;25;35;42
5284;17;10;2020;3;9;15;26;32
5283;16;10;2020;20;24;26;36;39
5282;15;10;2020;9;18;25;35;38
5281;14;10;2020;10;18;33;41;42
5280;13;10;2020;5;15;25;29;30
5279;12;10;2020;2;4;9;12;42
5278;11;10;2020;8;21;29;37;38
5277;10;10;2020;8;13;21;30;41
5276;09;10;2020;4;9;18;22;41
5275;08;10;2020;4;19;30;36;38
5274;07;10;2020;9;11;13;23;39
5273;06;10;2020;12;16;18;23;34
5272;05;10;2020;1;3;27;39;42
5271;04;10;2020;5;21;25;32;36
5270;03;10;2020;3;5;6;9;29
5269;02;10;2020;3;16;29;31;39
5268;01;10;2020;12;19;23;32;42
5267;30;09;2020;17;28;29;34;42
5266;29;09;2020;5;7;12;18;31
5265;28;09;2020;3;6;17;40;41
5264;27;09;2020;8;11;19;26;29
